Timestamp,Class,Confidence
2026-03-11 12:02:37,fire,0.70
2026-03-11 12:02:38,fire,0.74
2026-03-11 12:02:38,fire,0.68
2026-03-11 12:02:39,fire,0.61
2026-03-11 12:02:39,fire,0.62
2026-03-11 12:02:40,fire,0.72
2026-03-11 12:02:40,fire,0.80
2026-03-11 12:02:41,fire,0.61
2026-03-11 12:02:42,fire,0.75
2026-03-11 12:02:42,fire,0.70
2026-03-11 12:02:43,fire,0.83
2026-03-11 12:02:43,fire,0.71
2026-03-11 12:02:44,fire,0.65
2026-03-11 12:02:44,fire,0.75
2026-03-11 12:02:44,fire,0.75
2026-03-11 12:02:45,fire,0.61
2026-03-11 12:02:45,fire,0.80
2026-03-11 12:02:46,fire,0.65
2026-03-11 12:02:47,fire,0.62
2026-03-11 12:02:48,fire,0.64
2026-03-11 12:02:48,fire,0.81
2026-03-11 12:02:49,fire,0.83
2026-03-11 12:02:49,fire,0.81
2026-03-11 12:02:49,fire,0.71
2026-03-11 12:02:50,fire,0.99
2026-03-11 12:02:50,fire,0.98
2026-03-11 12:02:51,fire,0.98
2026-03-11 12:02:51,fire,0.97
2026-03-11 12:02:51,fire,0.69
2026-03-11 12:02:52,fire,0.78
2026-03-11 12:02:52,fire,0.96
2026-03-11 12:02:52,fire,0.98
2026-03-11 12:02:53,fire,0.96
2026-03-11 12:02:53,fire,0.92
2026-03-11 12:02:54,fire,0.98
2026-03-11 12:02:54,fire,0.94
2026-03-11 12:02:54,fire,0.84
2026-03-11 12:02:55,fire,0.84
2026-03-11 12:02:55,fire,0.79
2026-03-11 12:02:57,fire,0.74
2026-03-11 12:02:57,fire,0.74
2026-03-11 12:02:57,fire,0.76
2026-03-11 12:02:58,fire,0.85
2026-03-11 12:02:58,fire,0.74
2026-03-11 12:02:58,fire,0.70
2026-03-11 12:02:59,fire,0.71
2026-03-11 12:02:59,fire,0.65
2026-03-11 12:03:00,fire,0.67
2026-03-11 12:03:00,fire,0.79
2026-03-11 12:03:00,fire,0.78
2026-03-11 12:03:01,fire,0.69
2026-03-11 12:03:01,fire,0.62
2026-03-11 12:03:02,fire,0.62
2026-03-11 12:03:02,fire,0.86
2026-03-11 12:03:02,fire,0.76
2026-03-11 12:03:03,fire,0.92
2026-03-11 12:03:03,fire,0.89
2026-03-11 12:03:04,fire,0.86
2026-03-11 12:03:04,fire,0.69
2026-03-11 12:03:04,fire,0.67
2026-03-11 12:03:05,fire,0.73
2026-03-11 12:03:05,fire,0.90
2026-03-11 12:03:05,fire,0.80
2026-03-11 12:03:06,fire,0.96
2026-03-11 12:03:06,fire,0.83
2026-03-11 12:03:07,fire,0.71
2026-03-11 12:03:07,fire,0.88
2026-03-11 12:03:07,fire,0.99
2026-03-11 12:03:08,fire,0.83
2026-03-11 12:03:08,fire,0.62
2026-03-11 12:03:08,fire,0.66
2026-03-11 12:03:09,fire,0.63
2026-03-11 12:03:09,fire,0.66
2026-03-11 12:03:10,fire,0.78
2026-03-11 12:03:10,fire,0.86
2026-03-11 12:03:11,fire,0.61
2026-03-11 12:03:13,fire,0.95
2026-03-11 12:03:14,fire,0.71
2026-03-11 12:03:15,fire,0.76
2026-03-11 12:03:15,fire,0.68
2026-03-11 12:03:16,fire,0.72
2026-03-11 12:03:19,fire,0.63
2026-03-11 12:03:20,fire,0.78
2026-03-11 12:03:20,fire,0.62
2026-03-11 12:03:21,fire,0.60
2026-03-11 12:03:22,fire,0.76
2026-03-11 12:03:23,fire,0.71
2026-03-11 12:03:23,fire,0.71
2026-03-11 12:03:23,fire,0.72
2026-03-11 12:03:24,fire,0.76
2026-03-11 12:03:24,fire,0.73
2026-03-11 12:03:25,fire,0.79
2026-03-11 12:03:25,fire,0.61
2026-03-11 12:03:28,fire,0.65
2026-03-11 12:03:29,fire,0.69
2026-03-11 12:03:31,fire,0.71
2026-03-11 12:03:32,fire,0.76
2026-03-11 12:03:33,fire,0.77
2026-03-11 12:03:33,fire,0.80
2026-03-11 12:03:34,fire,0.77
2026-03-11 12:03:34,fire,0.79
